+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; my_qsys|rst_controller_001|alt_rst_req_sync_uq1                            ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|rst_controller_001|alt_rst_sync_uq1                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|rst_controller_001                                                 ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|rst_controller|alt_rst_req_sync_uq1                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|rst_controller|alt_rst_sync_uq1                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|rst_controller                                                     ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|mm_interconnect_0|uart_0_s1_translator                             ; 72    ; 22             ; 21           ; 22             ; 57     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|mm_interconnect_0|sw_wrapper_0_avalon_master_0_translator          ; 89    ; 17             ; 0            ; 17             ; 81     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|mm_interconnect_0                                                  ; 57    ; 0              ; 0            ; 0              ; 56     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|uart_0|the_sw_qsys_uart_0_regs                                     ; 41    ; 8              ; 6            ; 8              ; 39     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|uart_0|the_sw_qsys_uart_0_rx|the_sw_qsys_uart_0_rx_stimulus_source ; 13    ; 0              ; 12           ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|uart_0|the_sw_qsys_uart_0_rx                                       ; 15    ; 1              ; 0            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|uart_0|the_sw_qsys_uart_0_tx                                       ; 23    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|uart_0                                                             ; 26    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|altpll_0|sd1                                                       ; 3     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|altpll_0|stdsync2|dffpipe3                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|altpll_0|stdsync2                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|altpll_0                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[127].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[126].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[125].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[124].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[123].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[122].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[121].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[120].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[119].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[118].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[117].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[116].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[115].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[114].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[113].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[112].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[111].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[110].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[109].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[108].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[107].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[106].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[105].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[104].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[103].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
